Married,Course,Full time/online student,Nationality,Mother's qualification,Father's qualification,Displaced,Educational special needs,Debtor,Mother's occupation,Father's occupation,Gender,Scholarship holder,Tuition fees up to date,Age at enrollment,,,,,,
yes,Bcom,Full time,Kenyan,Graduate,Graduate,No,No,No,Doctor,Banker,Male,Yes,Yes,18,,,,,,
yes,Bscit,Full time,Kenyan,Graduate,Graduate,No,Yes,No,Accountant,Doctor,Female,Yes,Yes,18,,,,,,
yes,Bse,Full time,Kenyan,Non-graduate,Non-graduate,No,No,No,Bussiness,Bussiness,Female,Yes,Yes,18,,,,,,
yes,Bbit,Full time,Kenyan,Graduate,Graduate,No,No,No,Politician,Doctor,Male,Yes,Yes,20,,,,,,
No ,Bbit,Full time,Kenyan,Graduate,Graduate,No,No,No,Nurse,Accountant,Male,Yes,Yes,21,,,,,,
yes,Bscit,Online,Kenyan,Non-graduate,Graduate,No,No,No,Farmer,Teacher,Male,No,Yes,19,,,,,,
No ,Bcom,Full time,Kenyan,Graduate,Graduate,No,No,No,Teacher,Banker,Female,Yes,Yes,17,,,,,,
No ,Bse,Full time,Kenyan,Non-graduate,Non-graduate,No,No,No,Bussiness,Farmer,Male,No,No,17,,,,,,
yes,Bscit,Online,Kenyan,Non-graduate,Graduate,No,No,No,Farmer,Police,Female,Yes,Yes,25,,,,,,
yes,Bscit,Online,Kenyan,Graduate,Graduate,No,No,No,Doctor,Politician,Female,No,Yes,18,,,,,,
No ,Bse,Online,Kenyan,Graduate,Graduate,No,No,Yes,Accountant,Banker,Female,Yes,Yes,18,,,,,,
No ,Bbit,Full time,Kenyan,Non-graduate,Non-graduate,No,No,No,Bussiness,Bussiness,Female,Yes,Yes,22,,,,,,
No ,Bscit,Online,Kenyan,Graduate,Graduate,No,No,No,Police,Police,Male,Yes,Yes,23,,,,,,
yes,Dse,Online,Kenyan,Graduate,Graduate,No,No,No,Nurse,Doctor,Male,No,Yes,19,,,,,,
